"response_id","question_key","raw_response","primary_code","primary_code_label","matching_codes","needs_review"
137,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
138,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
139,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
140,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
141,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
142,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
143,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
144,"why_apply_esc","To reduce our expenses for my senior high school education",1,"cost_financial_assistance","1;3",TRUE
145,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
146,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
147,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
148,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
149,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
150,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
151,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
152,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
153,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
154,"why_apply_esc","School",3,"school_quality_private_opportunity","3",FALSE
155,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
156,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
157,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
158,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
159,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
160,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
161,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
162,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
163,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
164,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
165,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
166,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
167,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
168,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
169,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
170,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
171,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
172,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
173,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
174,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
175,"why_apply_esc","Educational assistance",1,"cost_financial_assistance","1;3",TRUE
176,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
177,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
178,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
179,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
180,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
181,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
182,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
