,Region_Code,Division_Code,Municipality_Code,Full_Division_Code,Full_Municipality_Code,BEIS_School_ID,Implementing_Unit,Modified_COC,School_Type,Enroll_G7_M,Enroll_G7_F,Enroll_G8_M,Enroll_G8_F,Enroll_G9_M,Enroll_G9_F,Enroll_G10_M,Enroll_G10_F,Enroll_SNEd_NGJHS_M,Enroll_SNEd_NGJHS_F,Enroll_Total_JHS_M,Enroll_Total_JHS_F,Enroll_Total_JHS_All,Dropout_Rate_G7_M,Dropout_Rate_G7_F,Dropout_Rate_G8_M,Dropout_Rate_G8_F,Dropout_Rate_G9_M,Dropout_Rate_G9_F,Dropout_Rate_G10_M,Dropout_Rate_G10_F,Dropout_Rate_SNEd_NGJHS_M,Dropout_Rate_SNEd_NGJHS_F,Dropout_Rate_Total_JHS_M,Dropout_Rate_Total_JHS_F,Dropout_Rate_Total_JHS_All,JHS_Instructional_Rooms,JHS_Classroom_Ratio,JHS_Seats,JHS_Seat_Ratio,JHS_Toilet,JHS_Toilet_Ratio,JHS_Computer,JHS_Computer_Ratio,JHS_Teacher,JHS_Teacher_Ratio,Cancel_2016,Cancel_2017,Cancel_2018,Cancel_2019,Cancel_2020,Cancel_2021,Cancel_2022,Cancel_2023,Cancel_Total_20162023,Cancel_Average_20162023,Pilot_Cancel,Pilot_Ratio,Pilot_Shift
190,1,9,19,109,10919,500378,0,1,1,20,15,25,12,17,14,26,20,0,0,88,61,149,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11.88,682,0,27,5.61,80,1.8625,7,21.29,3,0,6,7,2,2,13,6,39,5,1,0,0
191,1,9,19,109,10919,500385,0,1,1,20,17,12,16,25,18,15,14,0,0,72,65,137,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14.31,357,0,18,7.44,105,1.304761905,7,19.57,3,0,6,7,2,2,13,6,39,5,1,0,0
192,1,9,19,109,10919,501118,0,1,1,20,17,25,24,31,23,25,23,0,0,101,87,188,0,0,0,0,0,0.0435,0,0,0,0,0,0.0115,0.0053,15,12.42,40,5,6,33.71,0,-999,18,10.44,3,0,6,7,2,2,13,6,39,5,1,0,0
193,1,9,17,109,10917,500384,0,1,1,16,18,29,22,29,20,19,23,0,0,93,83,176,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21.5,372,0,14,12.29,25,7.04,8,22,3,0,6,7,2,2,13,6,39,5,1,0,0
194,1,9,17,109,10917,500623,0,1,1,146,113,127,122,134,137,146,134,0,0,553,506,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37.2,-999,1,37,28.72,0,-999,36,29.42,3,0,6,7,2,2,13,6,39,5,1,0,0
195,1,9,21,109,10921,501898,0,1,1,18,19,23,24,21,20,23,23,0,0,85,86,171,0,0,0,0,0.0476,0.05,0.0435,0,0,0,0.0235,0.0116,0.0175,-999,-999,170,1,0,-999,74,2.310810811,3,57,3,0,6,7,2,2,13,6,39,5,1,1,0
196,1,9,22,109,10922,500624,0,1,1,24,34,30,25,28,18,35,25,0,0,117,102,219,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25.8,-999,0,0,-999,31,7.064516129,10,21.9,3,0,6,7,2,2,13,6,39,5,1,0,0
197,1,11,1,111,11101,500530,0,1,1,5,4,9,8,9,9,4,11,0,0,27,32,59,0,0,0,0,0,0,0.25,0,0,0,0.037,0,0.0169,4,15.8,37,2,6,9.88,0,-999,6,9.83,2,0,6,6,2,2,11,16,135,6,1,0,0
198,1,11,1,111,11101,500480,0,1,1,50,34,36,31,46,42,35,25,0,0,167,132,299,0.02,0.0294,0,0.0323,0.0652,0,0.0571,0.08,0,0,0.0359,0.0303,0.0334,10,30,240,1,14,22,21,14.23809524,5,59.8,2,0,6,6,2,2,11,16,135,6,1,1,0
199,1,11,1,111,11101,500481,0,1,1,4,10,7,4,12,10,7,8,0,0,30,32,62,0.25,0,0,0.25,0.0833,0,0,0,0,0,0.0667,0.0313,0.0484,4,16,87,1,3,21.33,0,-999,2,31,2,0,6,6,2,2,11,16,135,6,1,0,0
200,1,5,3,105,10503,502102,0,3,1,11,10,19,6,12,9,6,5,0,0,48,30,78,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,1,78,1,0,6,6,2,2,11,11,138,5,1,1,0
