school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
301231,4,413,41302,Control,BoSY,Grade 7,2-level,frustration,23,236,9.745762711864407
301188,4,402,40201,Control,BoSY,Grade 7,2-level,frustration,58,714,8.123249299719888
307913,4,413,41309,Control,BoSY,Grade 7,2-level,frustration,25,351,7.122507122507122
500566,15,1507,150710,Control,BoSY,Grade 7,2-level,frustration,109,713,15.287517531556801
305453,15,1510,151001,Control,BoSY,Grade 7,2-level,frustration,24,891,2.6936026936026938
305311,15,1507,150702,Control,BoSY,Grade 7,2-level,frustration,6,288,2.0833333333333335
301425,4,401,40101,Control,BoSY,Grade 7,2-level,frustration,264,1052,25.09505703422053
301202,4,408,40812,Control,BoSY,Grade 7,2-level,frustration,10,432,2.314814814814815
305412,15,1515,151502,Control,BoSY,Grade 7,2-level,frustration,109,1188,9.175084175084175
308105,4,417,41703,Control,BoSY,Grade 7,2-level,frustration,42,906,4.635761589403973
305341,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,60,1278,4.694835680751174
319604,15,1512,151201,Control,BoSY,Grade 7,2-level,frustration,16,395,4.050632911392405
305568,15,1516,151601,Control,BoSY,Grade 7,2-level,frustration,58,469,12.366737739872068
305434,15,1503,150301,Control,BoSY,Grade 7,2-level,frustration,55,967,5.687693898655636
301464,4,417,41710,Control,BoSY,Grade 7,2-level,frustration,29,651,4.45468509984639
305461,15,1515,151502,Control,BoSY,Grade 7,2-level,frustration,208,327,63.608562691131496
305384,15,1501,150101,Control,BoSY,Grade 7,2-level,frustration,12,490,2.4489795918367347
301143,4,421,42101,Control,BoSY,Grade 7,2-level,frustration,122,1302,9.370199692780337
305340,15,1514,151401,Control,BoSY,Grade 7,2-level,frustration,72,1372,5.247813411078718
305302,15,1507,150709,Treatment,BoSY,Grade 7,2-level,frustration,110,1136,9.683098591549296
308103,4,417,41712,Control,BoSY,Grade 7,2-level,frustration,16,406,3.9408866995073892
308130,4,417,41711,Control,BoSY,Grade 7,2-level,frustration,29,184,15.76086956521739
301227,4,420,42001,Control,BoSY,Grade 7,2-level,frustration,15,1520,0.9868421052631579
