full_municipality_code,n_schools,control_schools,treatment_schools,pct_control,pct_treatment,enrolled_jhs,philiri_bosy_enrolled,philiri_bosy_assessed,philiri_bosy_assessment_rate,rma_bosy_enrolled,rma_bosy_assessed,rma_bosy_assessment_rate,philiri_eosy_enrolled,philiri_eosy_assessed,philiri_eosy_assessment_rate,rma_eosy_enrolled,rma_eosy_assessed,rma_eosy_assessment_rate,compliance_denominator,n_compliant,compliance_rate
50315,3,3,0,100,0,1280,1095,1052,96.073059,1092,1074,98.351646,1048,1034,98.664124,1008,951,94.345238,3,0,0
50316,2,2,0,100,0,1903,1960,1816,92.653061,1948,1904,97.741272,1948,1709,87.731003,1931,1879,97.307098,2,0,0
50317,2,2,0,100,0,420,447,447,100,341,340,99.706741,453,449,99.116997,408,403,98.774513,2,0,0
50320,1,1,0,100,0,177,170,170,100,171,169,98.830406,167,164,98.20359,168,152,90.476189,1,0,0
50325,1,1,0,100,0,916,944,944,100,940,940,100,906,883,97.461372,888,888,100,1,0,0
50328,1,1,0,100,0,382,368,364,98.91304,368,362,98.369568,342,342,100,368,362,98.369568,1,0,0
50330,1,1,0,100,0,361,335,335,100,335,334,99.701492,332,332,100,327,322,98.470947,1,0,0
50331,1,1,0,100,0,836,778,778,100,774,774,100,783,726,92.720306,753,752,99.867195,1,0,0
50332,1,1,0,100,0,492,410,408,99.512192,403,404,100.24814,395,380,96.20253,403,403,100,1,0,0
50333,1,1,0,100,0,533,345,343,99.420288,499,494,98.997993,323,323,100,484,454,93.801651,1,0,0
50334,1,1,0,100,0,671,765,720,94.117645,753,749,99.468788,749,678,90.520691,719,714,99.304588,1,0,0
50501,5,5,0,100,0,1738,1667,1656,99.340134,1655,1654,99.939575,1671,1455,87.073608,1658,1652,99.638115,5,0,0
50601,1,1,0,100,0,329,307,307,100,307,307,100,297,279,93.939392,297,295,99.326599,1,0,0
50701,2,2,0,100,0,1201,1284,1284,100,1278,1273,99.608765,1212,1160,95.709572,1247,1240,99.438652,2,0,0
50801,4,2,2,50,50,2791,2698,2698,100,2768,2764,99.855492,2781,2548,91.621719,2717,2626,96.650719,4,2,50
50802,2,2,0,100,0,315,339,339,100,338,338,100,338,288,85.2071,335,310,92.537315,2,0,0
50803,3,1,2,33.333332,66.666664,1071,1022,1020,99.804306,976,1012,103.68852,997,983,98.595787,1013,1003,99.012833,3,2,66.666664
50804,2,1,1,50,50,667,728,728,100,728,728,100,295,293,99.322037,706,703,99.575073,2,1,50
50805,1,0,1,0,100,322,293,291,99.317406,293,292,99.658707,285,285,100,293,278,94.880547,1,1,100
50806,3,2,1,66.666664,33.333332,1525,1320,1320,100,1330,1326,99.699249,1285,1279,99.533073,1254,1203,95.933014,3,1,33.333332
50808,1,1,0,100,0,385,302,302,100,302,296,98.013245,308,308,100,295,295,100,1,0,0
50811,1,0,1,0,100,504,509,509,100,540,515,95.370369,485,485,100,493,493,100,1,1,100
50812,2,1,1,50,50,1332,1312,1301,99.161583,1310,1269,96.870232,1308,1189,90.902138,1302,1287,98.847923,2,1,50
50815,1,0,1,0,100,346,293,290,98.976112,294,294,100,280,272,97.14286,282,282,100,1,1,100
50816,2,2,0,100,0,658,584,580,99.315071,581,580,99.827881,577,571,98.960136,565,550,97.345131,2,0,0
50817,2,2,0,100,0,1181,1026,1026,100,1149,1149,100,1130,1046,92.566368,1129,1091,96.634186,2,0,0
50818,2,0,2,0,100,524,487,473,97.125259,493,491,99.594322,500,500,100,490,489,99.795921,2,2,100
50819,3,3,0,100,0,649,617,603,97.730957,600,600,100,615,585,95.121948,581,575,98.9673,3,0,0
50820,1,0,1,0,100,506,486,439,90.329216,452,452,100,442,431,97.511314,436,436,100,1,1,100
50901,1,1,0,100,0,635,683,621,90.922401,660,660,100,635,635,100,637,637,100,1,0,0
51102,1,1,0,100,0,181,197,197,100,187,191,102.13904,205,191,93.170731,197,194,98.477158,1,0,0
51103,1,1,0,100,0,985,1050,1047,99.714287,1030,1025,99.514565,1047,1032,98.567337,1028,942,91.634239,1,0,0
51105,2,2,0,100,0,788,807,773,95.786865,799,780,97.622025,797,448,56.210789,791,685,86.599243,2,0,0
51106,1,1,0,100,0,440,430,430,100,426,426,100,424,424,100,426,426,100,1,0,0
51107,1,1,0,100,0,397,372,372,100,370,368,99.459457,351,342,97.435898,337,337,100,1,0,0
51301,4,4,0,100,0,3430,3430,3413,99.504372,2500,2458,98.32,3422,3091,90.327293,3236,3201,98.918419,4,0,0
70101,1,1,0,100,0,477,468,468,100,470,464,98.723404,511,511,100,510,414,81.176468,1,0,0
70301,1,1,0,100,0,232,253,252,99.604744,270,270,100,265,265,100,265,265,100,1,0,0
70302,1,0,1,0,100,328,303,303,100,303,303,100,299,299,100,299,299,100,1,1,100
70303,1,0,1,0,100,147,164,164,100,163,163,100,162,160,98.765434,164,163,99.390244,1,1,100
70304,2,1,1,50,50,389,378,378,100,377,377,100,362,270,74.585632,360,360,100,2,1,50
70305,1,1,0,100,0,64,60,60,100,59,59,100,62,62,100,62,62,100,1,0,0
70308,1,0,1,0,100,371,352,352,100,354,354,100,343,343,100,345,334,96.811592,1,1,100
70309,2,0,2,0,100,773,849,848,99.882217,842,842,100,792,792,100,791,790,99.873581,2,2,100
70401,1,1,0,100,0,111,126,126,100,124,124,100,125,123,98.400002,123,123,100,1,0,0
70506,1,1,0,100,0,144,136,126,92.647057,137,125,91.240875,125,120,96,125,125,100,1,0,0
70507,1,1,0,100,0,432,443,430,97.06546,443,431,97.291199,431,313,72.621811,428,427,99.766357,1,0,0
70512,1,1,0,100,0,183,174,169,97.126434,175,172,98.285713,172,146,84.88372,172,170,98.837212,1,0,0
70517,1,1,0,100,0,383,402,401,99.751244,404,401,99.257423,380,380,100,386,368,95.336784,1,0,0
70518,1,1,0,100,0,717,730,727,99.589043,733,722,98.499321,737,704,95.522385,733,710,96.862213,1,0,0
70520,1,1,0,100,0,95,80,71,88.75,80,83,103.75,79,79,100,79,76,96.20253,1,0,0
70521,1,1,0,100,0,265,323,323,100,322,322,100,311,114,36.655949,310,308,99.354836,1,0,0
70522,2,2,0,100,0,650,669,643,96.113602,612,597,97.549019,614,572,93.159607,391,391,100,2,0,0
70525,3,3,0,100,0,619,758,611,80.606857,752,750,99.734039,600,499,83.166664,739,736,99.594048,3,0,0
70527,3,3,0,100,0,885,829,804,96.984322,832,808,97.115387,807,769,95.291199,809,805,99.505562,3,0,0
70528,1,1,0,100,0,214,204,204,100,204,204,100,200,200,100,189,189,100,1,0,0
70529,1,1,0,100,0,512,488,488,100,487,487,100,468,438,93.589745,469,468,99.786781,1,0,0
70530,1,1,0,100,0,250,265,265,100,265,240,90.56604,265,222,83.773582,262,250,95.419846,1,0,0
70532,1,1,0,100,0,278,276,276,100,280,285,101.78571,264,251,95.07576,264,234,88.63636,1,0,0
70601,1,1,0,100,0,290,312,312,100,309,308,99.676376,298,298,100,299,298,99.66555,1,0,0
70701,2,2,0,100,0,519,457,457,100,458,461,100.65502,430,430,100,101,101,100,2,0,0
70801,7,7,0,100,0,1763,1847,1838,99.512726,1854,1854,100,1828,1750,95.73304,1821,1807,99.231194,7,0,0
70901,1,1,0,100,0,223,208,202,97.115387,201,201,100,196,183,93.367348,196,187,95.408165,1,0,0
71001,2,2,0,100,0,673,741,700,94.466934,735,710,96.59864,697,644,92.395981,704,691,98.153412,2,0,0
71002,1,1,0,100,0,283,250,250,100,251,251,100,250,218,87.199997,249,217,87.148598,1,0,0
71101,1,1,0,100,0,481,485,485,100,485,485,100,483,483,100,0,0,,1,0,0
71303,1,1,0,100,0,461,529,514,97.164459,514,509,99.027237,489,482,98.568504,494,489,98.987854,1,0,0
71306,1,1,0,100,0,135,142,129,90.84507,138,136,98.550728,118,110,93.220337,112,112,100,1,0,0
71402,1,1,0,100,0,286,241,241,100,245,245,100,238,238,100,244,244,100,1,0,0
