school_id,time_point,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy
301231,BoSY,Grade 8,3-level,238,29,-209,TRUE
301231,BoSY,Grade 9,2-level,161,36,-125,TRUE
301231,BoSY,Grade 9,3-level,161,5,-156,TRUE
301231,EoSY,Grade 10,eosy,183,183,0,FALSE
301231,EoSY,Grade 7,eosy,225,225,0,FALSE
301231,EoSY,Grade 8,eosy,233,233,0,FALSE
301231,EoSY,Grade 9,eosy,157,157,0,FALSE
301236,BoSY,Grade 10,2-level,239,93,-146,TRUE
301236,BoSY,Grade 10,3-level,239,143,-96,TRUE
301236,BoSY,Grade 7,2-level,341,87,-254,TRUE
301236,BoSY,Grade 7,3-level,341,220,-121,TRUE
301236,BoSY,Grade 8,2-level,335,76,-259,TRUE
301236,BoSY,Grade 8,3-level,335,256,-79,TRUE
301236,BoSY,Grade 9,2-level,256,79,-177,TRUE
301236,BoSY,Grade 9,3-level,256,121,-135,TRUE
301236,EoSY,Grade 10,eosy,233,233,0,FALSE
301236,EoSY,Grade 7,eosy,290,290,0,FALSE
301236,EoSY,Grade 8,eosy,322,322,0,FALSE
301236,EoSY,Grade 9,eosy,189,189,0,FALSE
301238,BoSY,Grade 10,2-level,512,24,-488,TRUE
301238,BoSY,Grade 10,3-level,512,52,-460,TRUE
301238,BoSY,Grade 7,2-level,621,147,-474,TRUE
301238,BoSY,Grade 7,3-level,621,90,-531,TRUE
301238,BoSY,Grade 8,2-level,596,269,-327,TRUE
301238,BoSY,Grade 8,3-level,596,170,-426,TRUE
301238,BoSY,Grade 9,2-level,447,164,-283,TRUE
301238,BoSY,Grade 9,3-level,447,134,-313,TRUE
301238,EoSY,Grade 10,eosy,32,32,0,FALSE
301238,EoSY,Grade 7,eosy,74,74,0,FALSE
301238,EoSY,Grade 8,eosy,395,395,0,FALSE
301238,EoSY,Grade 9,eosy,39,39,0,FALSE
301257,BoSY,Grade 10,2-level,1922,908,-1014,TRUE
301257,BoSY,Grade 10,3-level,1922,845,-1077,TRUE
301257,BoSY,Grade 7,2-level,2100,1012,-1088,TRUE
301257,BoSY,Grade 7,3-level,2100,1045,-1055,TRUE
301257,BoSY,Grade 8,2-level,2101,740,-1361,TRUE
301257,BoSY,Grade 8,3-level,2101,1293,-808,TRUE
301257,BoSY,Grade 9,2-level,1758,1054,-704,TRUE
301257,BoSY,Grade 9,3-level,1758,597,-1161,TRUE
301257,EoSY,Grade 10,eosy,1702,1702,0,FALSE
301257,EoSY,Grade 7,eosy,2000,2000,0,FALSE
301257,EoSY,Grade 8,eosy,1981,1981,0,FALSE
301257,EoSY,Grade 9,eosy,1584,1584,0,FALSE
301258,BoSY,Grade 10,2-level,468,353,-115,TRUE
301258,BoSY,Grade 10,3-level,468,99,-369,TRUE
301258,BoSY,Grade 7,2-level,548,292,-256,TRUE
301258,BoSY,Grade 7,3-level,548,233,-315,TRUE
301258,BoSY,Grade 8,2-level,552,172,-380,TRUE
301258,BoSY,Grade 8,3-level,552,378,-174,TRUE
301258,BoSY,Grade 9,2-level,382,232,-150,TRUE
301258,BoSY,Grade 9,3-level,382,142,-240,TRUE
301258,EoSY,Grade 10,eosy,452,452,0,FALSE
301258,EoSY,Grade 7,eosy,513,513,0,FALSE
301258,EoSY,Grade 8,eosy,536,536,0,FALSE
301258,EoSY,Grade 9,eosy,367,367,0,FALSE
301265,BoSY,Grade 10,2-level,396,140,-256,TRUE
301265,BoSY,Grade 10,3-level,396,254,-142,TRUE
301265,BoSY,Grade 7,2-level,412,132,-280,TRUE
301265,BoSY,Grade 7,3-level,412,263,-149,TRUE
301265,BoSY,Grade 8,2-level,450,172,-278,TRUE
301265,BoSY,Grade 8,3-level,450,170,-280,TRUE
301265,BoSY,Grade 9,2-level,348,152,-196,TRUE
301265,BoSY,Grade 9,3-level,348,190,-158,TRUE
301265,EoSY,Grade 10,eosy,375,375,0,FALSE
301265,EoSY,Grade 7,eosy,425,425,0,FALSE
