region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
BARMM,Lanao del Sur - II,Madalum,324710,Madalum NHS,261,261,0.1111111111111111,0.21072796934865898,0.6245210727969348,0.05363984674329504,0,29,55,163,14,0,49,7,7,32,3,0,55,8,13,31,3,0,60,4,18,35,3,0,97,10,17,65,5,0
BARMM,Lanao del Sur - II,Madamba,304988,Lakitan National High School,845,847,0,0.15230224321133418,0.5926800472255017,0.2550177095631641,0,0,129,502,216,0,221,0,28,130,63,0,220,0,23,136,61,0,199,0,43,108,48,0,207,0,35,128,44,0
BARMM,Lanao del Sur - II,Madamba,318218,Madamba National High School,365,365,0.8438356164383564,0.13424657534246578,0.021917808219178082,0,0,308,49,8,0,0,87,73,10,4,0,0,80,69,9,2,0,0,128,120,8,0,0,0,70,46,22,2,0,0
BARMM,Lanao del Sur - II,Malabang,324721,East Pagilidan NHS,76,69,0.3478260869565218,0.47826086956521746,0.14492753623188406,0,0.028985507246376815,24,33,10,0,2,19,9,6,4,0,0,13,2,11,0,0,0,28,11,12,5,0,0,9,2,4,1,0,2
BARMM,Lanao del Sur - II,Malabang,324718,Hadja Maimona M. Balindong NHS,111,41,0,0.024390243902439025,0.2926829268292684,0.07317073170731708,0.6097560975609756,0,1,12,3,25,15,0,1,12,2,0,11,0,0,0,1,10,8,0,0,0,0,8,7,0,0,0,0,7
BARMM,Lanao del Sur - II,Malabang,318240,Malabang National High School,978,975,0.4389743589743591,0.43282051282051287,0.12615384615384612,0.0020512820512820513,0,428,422,123,2,0,275,63,103,107,2,0,253,147,104,2,0,0,236,129,106,1,0,0,211,89,109,13,0,0
BARMM,Lanao del Sur - II,Malabang,304989,Mananayo NHS,106,106,0.320754716981132,0.5660377358490565,0.06603773584905659,0.037735849056603765,0.009433962264150941,34,60,7,4,1,38,10,27,1,0,0,32,4,28,0,0,0,15,14,1,0,0,0,21,6,4,6,4,1
BARMM,Lanao del Sur - II,Malabang,324724,Pumbaya National High School,306,306,0.5947712418300654,0.40196078431372556,0.003267973856209151,0,0,182,123,1,0,0,76,47,29,0,0,0,80,47,33,0,0,0,91,59,32,0,0,0,59,29,29,1,0,0
BARMM,Lanao del Sur - II,Malabang,501028,Sultan Macapandi M. Padate Integrated NHS,72,72,0.8194444444444445,0.18055555555555552,0,0,0,59,13,0,0,0,20,13,7,0,0,0,23,19,4,0,0,0,12,11,1,0,0,0,17,16,1,0,0,0
BARMM,Lanao del Sur - II,Malabang,324701,Tubok National High Scool,92,92,0.4130434782608696,0.5217391304347827,0.06521739130434778,0,0,38,48,6,0,0,23,8,12,3,0,0,23,8,12,3,0,0,22,11,11,0,0,0,24,11,13,0,0,0
BARMM,Lanao del Sur - II,Marogong,318247,Ontonga Mem. NHS,97,97,0,0.07216494845360827,0.7216494845360827,0.20618556701030927,0,0,7,70,20,0,28,0,0,17,11,0,24,0,2,21,1,0,26,0,2,17,7,0,19,0,3,15,1,0
BARMM,Lanao del Sur - II,Marogong,318209,Ontonga-Mikunug Mem. NHS,152,152,0,0.14473684210526322,0.4934210526315788,0.3552631578947368,0.006578947368421051,0,22,75,54,1,34,0,0,8,26,0,32,0,2,25,5,0,45,0,13,23,9,0,41,0,7,19,14,1
BARMM,Lanao del Sur - II,Marogong,304991,SULTAN ABDULMADID MARUHOM MEMORIAL NHS,543,543,0.47882136279926346,0.44383057090239414,0.07182320441988953,0.005524861878453038,0,260,241,39,3,0,182,31,138,13,0,0,163,95,60,8,0,0,99,89,3,7,0,0,99,45,40,11,3,0
BARMM,Lanao del Sur - II,Marogong,318246,SULTAN MAGUIDALA MEMORIAL NATIONAL HIGH SCHOOL,261,261,0.8007662835249042,0.19540229885057475,0.0038314176245210726,0,0,209,51,1,0,0,70,39,31,0,0,0,78,77,0,1,0,0,59,59,0,0,0,0,54,34,20,0,0,0
BARMM,Lanao del Sur - II,Pagayawan (Tatarikan),318208,Pagayawan National High School,417,347,0.17579250720461093,0.4121037463976946,0.31123919308357345,0.10086455331412104,0,61,143,108,35,0,73,14,34,21,4,0,88,11,46,21,10,0,105,20,37,42,6,0,81,16,26,24,15,0
BARMM,Lanao del Sur - II,Pualas,318211,Bonsalagan Memorial NHS,190,104,0.3269230769230769,0.27884615384615385,0.25961538461538464,0.13461538461538464,0,34,29,27,14,0,21,6,6,7,2,0,26,8,10,5,3,0,30,10,5,9,6,0,27,10,8,6,3,0
BARMM,Lanao del Sur - II,Pualas,304985,Danugan NHS,99,99,0,0.13131313131313135,0.6262626262626262,0.24242424242424246,0,0,13,62,24,0,23,0,3,14,6,0,28,0,2,19,7,0,23,0,4,14,5,0,25,0,4,15,6,0
BARMM,Lanao del Sur - II,Pualas,318229,Mauna Mem. NHS,198,198,0,0.24747474747474751,0.5555555555555556,0.19696969696969696,0,0,49,110,39,0,38,0,0,24,14,0,47,0,14,28,5,0,65,0,19,34,12,0,48,0,16,24,8,0
BARMM,Lanao del Sur - II,Pualas,318224,Pamaloy Memorial National High School,277,222,0.21621621621621626,0.7207207207207206,0.06306306306306306,0,0,48,160,14,0,0,52,14,36,2,0,0,51,15,34,2,0,0,54,13,39,2,0,0,65,6,51,8,0,0
BARMM,Lanao del Sur - II,Pualas,304994,Pualas National High School,317,315,0,0.06984126984126984,0.42857142857142855,0.4380952380952381,0.06349206349206347,0,22,135,138,20,101,0,6,50,42,3,82,0,4,21,48,9,73,0,5,39,27,2,59,0,7,25,21,6
