region,division,municipality,school_id,school_name,total_enrolled,total_assessed,emerging_not_proficient,emerging_low_proficient,developing_nearly_proficient,transitioning_proficient,at_grade_level_highly_proficient,total_emerging_not_proficient,total_emerging_low_proficient,total_developing_nearly_proficient,total_transitioning_proficient,total_at_grade_level_highly_proficient,g7_assessed,g7_emerging_not_proficient,g7_emerging_low_proficient,g7_developing_nearly_proficient,g7_transitioning_proficient,g7_at_grade_level_highly_proficient,g8_assessed,g8_emerging_not_proficient,g8_emerging_low_proficient,g8_developing_nearly_proficient,g8_transitioning_proficient,g8_at_grade_level_highly_proficient,g9_assessed,g9_emerging_not_proficient,g9_emerging_low_proficient,g9_developing_nearly_proficient,g9_transitioning_proficient,g9_at_grade_level_highly_proficient,g10_assessed,g10_emerging_not_proficient,g10_emerging_low_proficient,g10_developing_nearly_proficient,g10_transitioning_proficient,g10_at_grade_level_highly_proficient
Region V,Sorsogon,Bulan,502339,Calpi Integrated School,100,100,0,0.28,0.49,0.23,0,0,28,49,23,0,26,0,4,17,5,0,27,0,4,16,7,0,20,0,6,10,4,0,27,0,14,6,7,0
Region V,Sorsogon,Bulan,302203,Danao National High Sschool,197,194,0.4896907216494846,0.3144329896907217,0.18556701030927836,0.010309278350515465,0,95,61,36,2,0,80,19,32,28,1,0,40,21,19,0,0,0,36,33,3,0,0,0,38,22,7,8,1,0
Region V,Sorsogon,Bulan,302210,Faustino G. Glua National High School,325,309,0.5728155339805827,0.3495145631067962,0.06796116504854369,0.009708737864077666,0,177,108,21,3,0,97,12,61,21,3,0,82,77,5,0,0,0,66,57,9,0,0,0,64,31,33,0,0,0
Region V,Sorsogon,Bulan,310002,J. P. Laurel National High School,475,475,0.45684210526315794,0.38315789473684214,0.11368421052631579,0.04421052631578947,0.0021052631578947364,217,182,54,21,1,126,52,58,16,0,0,132,51,43,21,16,1,126,63,44,14,5,0,91,51,37,3,0,0
Region V,Sorsogon,Bulan,502995,Marinab Integrated School,27,27,0.037037037037037035,0.6296296296296298,0.3333333333333332,0,0,1,17,9,0,0,27,1,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Sorsogon,Bulan,302233,Quezon National High School,336,336,0.9017857142857144,0.09821428571428573,0,0,0,303,33,0,0,0,122,97,25,0,0,0,96,91,5,0,0,0,71,69,2,0,0,0,47,46,1,0,0,0
Region V,Sorsogon,Bulan,302237,San Francisco National High School,835,6,1,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region V,Sorsogon,Bulan,302238,San Isidro National High School (Bulan),489,487,0.7987679671457905,0.17864476386036968,0.018480492813141687,0.004106776180698151,0,389,87,9,2,0,130,87,39,4,0,0,121,73,41,5,2,0,147,140,7,0,0,0,89,89,0,0,0,0
Region V,Sorsogon,Bulan,302239,San Juan Bag-o National High School,320,320,0.5625,0.3625,0.07187500000000001,0.0031249999999999997,0,180,116,23,1,0,89,41,43,5,0,0,85,53,18,13,1,0,84,55,28,1,0,0,62,31,27,4,0,0
Region V,Sorsogon,Bulan,302213,Valentina B. Boncan National High School,312,305,0.4918032786885246,0.4262295081967213,0.07540983606557378,0.006557377049180328,0,150,130,23,2,0,83,26,47,10,0,0,80,34,33,11,2,0,71,43,28,0,0,0,71,47,22,2,0,0
