row_number_from_source_file,region_code,division_code,municipality_code,full_division_code,full_municipality_code,beis_school_id,implementing_unit,modified_coc,school_type,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,dropout_rate_g7_m,dropout_rate_g7_f,dropout_rate_g8_m,dropout_rate_g8_f,dropout_rate_g9_m,dropout_rate_g9_f,dropout_rate_g10_m,dropout_rate_g10_f,dropout_rate_sn_ed_ngjhs_m,dropout_rate_sn_ed_ngjhs_f,dropout_rate_total_jhs_m,dropout_rate_total_jhs_f,dropout_rate_total_jhs_all,jhs_instructional_rooms,jhs_classroom_ratio,jhs_seats,jhs_seat_ratio,jhs_toilet,jhs_toilet_ratio,jhs_computer,jhs_computer_ratio,jhs_teacher,jhs_teacher_ratio,cancel_2016,cancel_2017,cancel_2018,cancel_2019,cancel_2020,cancel_2021,cancel_2022,cancel_2023,cancel_total_20162023,cancel_average_20162023,pilot_cancel,pilot_ratio,pilot_shift,randomized_eval_id,rev_status
2612,4,16,7,416,41607,301317,1,2,1,110,95,160,136,164,160,142,155,0,0,576,546,1122,0.0818,0.042100000000000005,0.07500000000000001,0.022099999999999998,0.0488,0.0375,0.035199999999999995,0.0129,0,0,0.059000000000000004,0.0275,0.0437,22,50.44,881,1,6,179.33,112,10.017857139999998,44,25.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2613,4,16,15,416,41615,301407,1,2,1,237,190,197,254,279,268,288,291,15,6,1016,1009,2025,0.0211,0.0211,0.025400000000000002,0.0079,0.0323,0.0187,0.0278,0.0034000000000000002,0,0,0.026600000000000002,0.011899999999999999,0.0193,28,72.93,-999,1,23,86.73,46,44.02173913000001,75,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2614,4,16,12,416,41612,301502,1,2,1,926,941,992,942,1122,1107,1078,1121,0,0,4118,4111,8229,0.0335,0.0106,0.0403,0.0159,0.049,0.0217,0.026900000000000004,0.0107,0,0,0.0376,0.0148,0.0262,121,68.22,-999,2,85,97.29,511,16.1037182,338,24.35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2615,4,16,21,416,41621,301306,1,2,1,297,264,297,312,223,274,258,295,0,0,1075,1145,2220,0.0505,0.026500000000000003,0.07410000000000001,0.032100000000000004,0.0314,0.0146,0.042600000000000006,0.0271,0,0,0.0512,0.025300000000000003,0.0378,32,70.36999999999999,-999,2,47,47.6,21,105.71428570000002,89,24.939999999999998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2616,4,16,25,416,41625,301348,1,2,2,144,153,167,168,186,179,177,165,0,0,674,665,1339,0.06939999999999999,0.0327,0.0479,0.011899999999999999,0.0484,0.0223,0.016900000000000002,0.0121,0,0,0.0445,0.0195,0.032100000000000004,28,47.720000000000006,844,2,31,43.660000000000004,125,10.712,67,19.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2617,4,16,25,416,41625,301380,1,2,1,383,376,402,415,427,472,445,485,18,12,1675,1760,3435,0.020900000000000002,0.0027,0.0124,0.0024000000000000002,0.009399999999999999,0.0106,0,0,0,0,0.0101,0.004,0.007,73,47.04,-999,1,75,45.790000000000006,48,71.5625,156,22.02,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2618,4,17,1,417,41701,301417,1,2,1,459,428,486,473,532,565,529,537,17,13,2023,2016,4039,0.058800000000000005,0.0467,0.0597,0.033800000000000004,0.0639,0.035399999999999994,0.049100000000000005,0.035399999999999994,0,0,0.057300000000000004,0.0372,0.0473,83,48.620000000000005,-999,1,41,98.71000000000001,73,55.32876712,157,25.73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2619,4,17,12,417,41712,301467,0,2,1,395,318,335,371,449,410,434,441,3,6,1616,1546,3162,0.0051,0,0,0.0081,0.0022,0.0024000000000000002,0.0046,0.0068000000000000005,0,0,0.0031,0.0045000000000000005,0.0038,35,90.53,-999,2,26,119.89,37,85.45945946000002,95,33.28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2620,4,17,12,417,41712,308103,0,2,1,147,133,151,150,206,196,160,157,0,0,664,636,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41.44,678,2,54,24.12,281,4.626334519999999,35,37.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2620,0
2621,4,17,12,417,41712,308123,1,2,1,127,133,119,132,139,155,126,149,0,0,511,569,1080,0,0,0.0084,0,0,0,0,0,0,0,0.002,0,9.000000000000001e-4,27,40.52,-999,1,14,77.36,91,11.868131870000001,42,25.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2622,4,17,3,417,41703,308104,1,2,1,260,214,325,299,349,320,322,306,0,0,1256,1139,2395,0.0115,0.0047,0,0,0.0029,0.0031,0.0062,0.0033,0,0,0.0048000000000000004,0.0026,0.0038,32,74.3,-999,2,29,83.82,68,35.22058824000001,74,32.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2623,4,17,5,417,41705,301432,0,2,1,249,254,273,265,325,307,293,292,3,5,1143,1123,2266,0.0643,0.0276,0.0073,0.030199999999999998,0.043100000000000006,0.0358,0.0205,0.0274,0,0,0.0332,0.0303,0.0318,49,46.24,-999,1,39,58.1,70,32.37142856999999,79,28.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2623,0
2624,4,17,11,417,41711,308108,0,2,1,275,279,346,301,337,312,315,297,0,0,1273,1189,2462,0.0182,0.0143,0.0029,0,0.0208,0.0192,0.050800000000000005,0.0168,0,0,0.022799999999999997,0.0126,0.017900000000000003,23,105.23,-999,2,27,92.85,935,2.63315508,93,26.47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2625,4,17,11,417,41711,301466,0,2,1,669,610,675,645,735,670,624,645,0,0,2703,2570,5273,0.0105,0.0082,0.0089,0.0109,0.0082,0.0075,0.024,0.014,0,0,0.0126,0.0101,0.011399999999999999,58,90.97,-999,3,51,103.45,175,30.13142857,188,28.05,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2626,4,17,3,417,41703,301436,0,2,1,311,267,346,338,367,344,364,371,2,2,1390,1322,2712,0.041800000000000004,0.0225,0.052000000000000005,0.0178,0.035399999999999994,0.017400000000000002,0.030199999999999998,0.0162,0,0,0.0396,0.0182,0.029099999999999997,33,81.61,989,3,25,108.08,12,226,102,26.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2627,4,17,2,417,41702,308124,0,2,1,217,228,241,211,156,175,189,200,0,0,803,814,1617,0,0.0044,0.0083,0,0,0,0.0106,0,0,0,0.005,0.0012000000000000001,0.0031,26,63.260000000000005,-999,2,43,37.56,248,6.52016129,54,29.939999999999998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2628,4,17,10,417,41710,301456,1,2,2,199,202,250,254,242,249,256,262,0,0,947,967,1914,0.0201,0.009899999999999999,0.036,0.0157,0.028900000000000002,0.0161,0.0273,0.0115,0,0,0.0285,0.0134,0.020900000000000002,44,43.89,-999,1,70,27.2,2,957,78,24.54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2628,0
2629,4,9,1,409,40901,301484,1,2,1,586,574,570,596,592,619,553,649,37,16,2338,2454,4792,0.044399999999999995,0.0314,0.06670000000000001,0.033600000000000005,0.0507,0.0485,0.038,0.02,0,0,0.0492,0.033,0.0409,105,45.57,-999,1,121,39.56,201,23.84079602,237,20.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2630,4,14,1,414,41401,301496,1,2,1,178,149,212,199,210,217,207,235,0,0,807,800,1607,0.016900000000000002,0.0134,0.018900000000000004,0.015099999999999999,0.0143,0,0.0242,0.0128,0,0,0.018600000000000002,0.01,0.0143,7,246.33,-999,1,4,369.5,1214,1.3237232289999998,62,25.919999999999998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2631,4,14,1,414,41401,301489,1,2,1,169,150,161,155,165,191,169,162,0,0,664,658,1322,0.029599999999999998,0.02,0.0311,0.0194,0.036399999999999995,0.0157,0.0118,0.0062,0,0,0.0271,0.0152,0.0212,22,58.790000000000006,-999,1,33,39.65,2106,0.627730294,50,26.439999999999998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2631,0
2632,4,14,1,414,41401,301491,1,2,1,266,247,276,284,307,304,314,309,0,0,1163,1144,2307,0.015,0.0081,0.0145,0.0211,0.0033,0.009899999999999999,0.0127,0.009699999999999999,0,0,0.0112,0.0122,0.011699999999999999,55,41.61,-999,1,66,34.93,2219,1.0396575030000001,123,18.759999999999998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2633,4,14,1,414,41401,301487,1,2,1,163,159,195,178,218,220,240,191,0,0,816,748,1564,0.049100000000000005,0.018900000000000004,0.041,0.0337,0.06420000000000001,0.009099999999999999,0.0333,0.0052,0,0,0.0466,0.016,0.032,42,37.03,-999,1,64,24.55,2427,0.6444169759999999,51,30.67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2634,4,14,1,414,41401,301494,1,2,1,104,87,99,96,123,111,127,118,0,0,453,412,865,0.048100000000000004,0.0115,0.0505,0.0104,0.0244,0.018000000000000002,0.0236,0.0085,0,0,0.0353,0.0121,0.024300000000000002,14,61.21,981,1,63,13.68,50,17.3,42,20.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
2635,4,14,1,414,41401,301497,0,2,1,159,165,176,171,179,181,195,197,0,0,709,714,1423,0.0126,0.0061,0,0.0058000000000000005,0,0.0055,0,0.0102,0,0,0.0028,0.007,0.0049,28,51.64,-999,1,52,27.22,1483,0.9595414700000001,46,30.93,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,2635,1
2636,4,15,1,415,41501,301501,0,2,2,409,390,469,451,504,481,515,523,7,2,1904,1847,3751,0.0024000000000000002,0,0,0.0022,0.002,0,0.0019,0.0019,0,0,0.0015999999999999999,0.0011,0.0013,74,50.63,-999,2,97,38.67,180,20.838888890000003,173,21.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,NA,NA
