time_point,school_id,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300029,Grade 10,2-level,204,198,-6,TRUE,FALSE
BoSY,300029,Grade 10,3-level,204,197,-7,TRUE,FALSE
BoSY,300029,Grade 7,2-level,296,279,-17,TRUE,FALSE
BoSY,300029,Grade 7,3-level,296,280,-16,TRUE,FALSE
BoSY,300029,Grade 8,2-level,236,225,-11,TRUE,FALSE
BoSY,300029,Grade 8,3-level,236,232,-4,TRUE,FALSE
BoSY,300029,Grade 9,2-level,177,169,-8,TRUE,FALSE
BoSY,300029,Grade 9,3-level,177,169,-8,TRUE,FALSE
BoSY,300030,Grade 10,2-level,207,156,-51,TRUE,FALSE
BoSY,300030,Grade 10,3-level,207,116,-91,TRUE,FALSE
BoSY,300030,Grade 7,2-level,258,146,-112,TRUE,FALSE
BoSY,300030,Grade 7,3-level,258,115,-143,TRUE,FALSE
BoSY,300030,Grade 8,2-level,208,153,-55,TRUE,FALSE
BoSY,300030,Grade 8,3-level,208,145,-63,TRUE,FALSE
BoSY,300030,Grade 9,2-level,165,103,-62,TRUE,FALSE
BoSY,300030,Grade 9,3-level,165,72,-93,TRUE,FALSE
BoSY,300031,Grade 10,2-level,65,17,-48,TRUE,FALSE
BoSY,300031,Grade 10,3-level,65,48,-17,TRUE,FALSE
BoSY,300031,Grade 7,2-level,77,29,-48,TRUE,FALSE
BoSY,300031,Grade 7,3-level,77,48,-29,TRUE,FALSE
BoSY,300031,Grade 8,2-level,68,13,-55,TRUE,FALSE
BoSY,300031,Grade 8,3-level,68,55,-13,TRUE,FALSE
BoSY,300031,Grade 9,2-level,55,21,-34,TRUE,FALSE
BoSY,300031,Grade 9,3-level,55,34,-21,TRUE,FALSE
BoSY,300032,Grade 10,2-level,50,43,-7,TRUE,TRUE
BoSY,300032,Grade 10,3-level,50,15,-35,TRUE,TRUE
BoSY,300032,Grade 7,2-level,41,32,-9,TRUE,TRUE
BoSY,300032,Grade 7,3-level,41,17,-24,TRUE,TRUE
BoSY,300032,Grade 8,2-level,52,38,-14,TRUE,TRUE
BoSY,300032,Grade 8,3-level,52,23,-29,TRUE,TRUE
BoSY,300032,Grade 9,2-level,39,30,-9,TRUE,TRUE
BoSY,300032,Grade 9,3-level,39,15,-24,TRUE,TRUE
BoSY,300033,Grade 10,2-level,88,27,-61,TRUE,TRUE
BoSY,300033,Grade 10,3-level,88,61,-27,TRUE,TRUE
BoSY,300033,Grade 7,2-level,115,54,-61,TRUE,TRUE
BoSY,300033,Grade 7,3-level,115,62,-53,TRUE,TRUE
BoSY,300033,Grade 8,2-level,113,35,-78,TRUE,TRUE
BoSY,300033,Grade 8,3-level,113,79,-34,TRUE,TRUE
BoSY,300033,Grade 9,2-level,82,29,-53,TRUE,TRUE
BoSY,300033,Grade 9,3-level,82,53,-29,TRUE,TRUE
BoSY,300034,Grade 10,2-level,91,54,-37,TRUE,TRUE
BoSY,300034,Grade 10,3-level,91,38,-53,TRUE,TRUE
BoSY,300034,Grade 7,2-level,96,59,-37,TRUE,TRUE
BoSY,300034,Grade 7,3-level,96,43,-53,TRUE,TRUE
BoSY,300034,Grade 8,2-level,99,55,-44,TRUE,TRUE
BoSY,300034,Grade 8,3-level,99,44,-55,TRUE,TRUE
BoSY,300034,Grade 9,2-level,87,51,-36,TRUE,TRUE
BoSY,300034,Grade 9,3-level,87,39,-48,TRUE,TRUE
BoSY,300035,Grade 10,2-level,345,334,-11,TRUE,TRUE
BoSY,300035,Grade 10,3-level,345,66,-279,TRUE,TRUE
BoSY,300035,Grade 7,2-level,325,310,-15,TRUE,TRUE
BoSY,300035,Grade 7,3-level,325,67,-258,TRUE,TRUE
BoSY,300035,Grade 8,2-level,291,285,-6,TRUE,TRUE
BoSY,300035,Grade 8,3-level,291,45,-246,TRUE,TRUE
BoSY,300035,Grade 9,2-level,141,131,-10,TRUE,TRUE
BoSY,300035,Grade 9,3-level,141,46,-95,TRUE,TRUE
BoSY,300036,Grade 10,2-level,51,24,-27,TRUE,TRUE
BoSY,300036,Grade 10,3-level,51,27,-24,TRUE,TRUE
BoSY,300036,Grade 7,2-level,47,27,-20,TRUE,TRUE
BoSY,300036,Grade 7,3-level,47,20,-27,TRUE,TRUE
BoSY,300036,Grade 8,2-level,57,24,-33,TRUE,TRUE
BoSY,300036,Grade 8,3-level,57,34,-23,TRUE,TRUE
BoSY,300036,Grade 9,2-level,37,21,-16,TRUE,TRUE
BoSY,300036,Grade 9,3-level,37,16,-21,TRUE,TRUE
BoSY,300037,Grade 10,2-level,84,30,-54,TRUE,TRUE
BoSY,300037,Grade 10,3-level,84,56,-28,TRUE,TRUE
BoSY,300037,Grade 7,2-level,116,76,-40,TRUE,TRUE
BoSY,300037,Grade 7,3-level,116,44,-72,TRUE,TRUE
BoSY,300037,Grade 8,2-level,117,42,-75,TRUE,TRUE
BoSY,300037,Grade 8,3-level,117,77,-40,TRUE,TRUE
BoSY,300037,Grade 9,2-level,69,27,-42,TRUE,TRUE
BoSY,300037,Grade 9,3-level,69,43,-26,TRUE,TRUE
BoSY,300038,Grade 10,2-level,122,41,-81,TRUE,TRUE
BoSY,300038,Grade 10,3-level,122,81,-41,TRUE,TRUE
BoSY,300038,Grade 7,2-level,134,26,-108,TRUE,TRUE
BoSY,300038,Grade 7,3-level,134,108,-26,TRUE,TRUE
BoSY,300038,Grade 8,2-level,142,11,-131,TRUE,TRUE
BoSY,300038,Grade 8,3-level,142,132,-10,TRUE,TRUE
BoSY,300038,Grade 9,2-level,92,0,-92,TRUE,TRUE
BoSY,300038,Grade 9,3-level,92,92,0,FALSE,TRUE
BoSY,300039,Grade 10,2-level,23,14,-9,TRUE,TRUE
BoSY,300039,Grade 10,3-level,23,9,-14,TRUE,TRUE
BoSY,300039,Grade 7,2-level,24,15,-9,TRUE,TRUE
BoSY,300039,Grade 7,3-level,24,9,-15,TRUE,TRUE
BoSY,300039,Grade 8,2-level,16,8,-8,TRUE,TRUE
BoSY,300039,Grade 8,3-level,16,8,-8,TRUE,TRUE
BoSY,300039,Grade 9,2-level,22,13,-9,TRUE,TRUE
BoSY,300039,Grade 9,3-level,22,9,-13,TRUE,TRUE
BoSY,300040,Grade 10,2-level,44,23,-21,TRUE,TRUE
BoSY,300040,Grade 10,3-level,44,25,-19,TRUE,TRUE
BoSY,300040,Grade 7,2-level,39,23,-16,TRUE,TRUE
BoSY,300040,Grade 7,3-level,39,19,-20,TRUE,TRUE
BoSY,300040,Grade 8,2-level,43,23,-20,TRUE,TRUE
BoSY,300040,Grade 8,3-level,43,22,-21,TRUE,TRUE
BoSY,300040,Grade 9,2-level,23,13,-10,TRUE,TRUE
