school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,proficiency_group,student_count,assessed_count,percent_of_assessed
305438,15,1516,151601,Control,BoSY,Grade 7,not proficient,780,939,83.06709265175719
305324,15,1514,151401,Control,BoSY,Grade 7,not proficient,239,275,86.9090909090909
305454,15,1510,151001,Control,BoSY,Grade 7,not proficient,136,139,97.84172661870504
308122,4,417,41708,Control,BoSY,Grade 7,not proficient,180,267,67.41573033707866
301508,4,418,41801,Control,BoSY,Grade 7,not proficient,211,258,81.78294573643412
305465,15,1515,151502,Control,BoSY,Grade 7,not proficient,742,815,91.04294478527608
305428,15,1511,151101,Control,BoSY,Grade 7,not proficient,348,371,93.80053908355795
301175,4,408,40807,Control,BoSY,Grade 7,not proficient,449,697,64.41893830703013
301437,4,417,41704,Control,BoSY,Grade 7,not proficient,860,1040,82.6923076923077
320204,15,1511,151101,Control,BoSY,Grade 7,not proficient,522,573,91.09947643979058
305447,15,1505,150501,Control,BoSY,Grade 7,not proficient,677,861,78.62950058072009
301438,4,417,41704,Control,BoSY,Grade 7,not proficient,514,543,94.65930018416206
308135,4,417,41708,Control,BoSY,Grade 7,not proficient,322,490,65.71428571428571
301418,4,401,40101,Control,BoSY,Grade 7,not proficient,3203,3468,92.35870818915802
305288,15,1507,150710,Control,BoSY,Grade 7,not proficient,519,648,80.0925925925926
301265,4,413,41301,Control,BoSY,Grade 7,not proficient,408,412,99.02912621359224
305442,15,1516,151601,Control,BoSY,Grade 7,not proficient,237,272,87.13235294117646
500339,15,1505,150501,Control,BoSY,Grade 7,not proficient,245,365,67.12328767123287
305435,15,1503,150301,Control,BoSY,Grade 7,not proficient,182,473,38.47780126849894
308134,4,417,41708,Control,BoSY,Grade 7,not proficient,480,711,67.51054852320675
305452,15,1505,150501,Control,BoSY,Grade 7,not proficient,638,736,86.68478260869566
312330,7,703,70308,Treatment,BoSY,Grade 7,not proficient,89,89,100
305710,7,703,70302,Treatment,BoSY,Grade 7,not proficient,80,86,93.02325581395348
305655,11,1101,110101,Treatment,BoSY,Grade 7,not proficient,17,27,62.96296296296296
305581,7,703,70303,Treatment,BoSY,Grade 7,not proficient,36,46,78.26086956521739
