time_point,school_id,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300041,Grade 10,145,145,0,FALSE,TRUE
BoSY,300041,Grade 7,169,169,0,FALSE,TRUE
BoSY,300041,Grade 8,140,140,0,FALSE,TRUE
BoSY,300041,Grade 9,129,129,0,FALSE,TRUE
BoSY,300042,Grade 10,52,52,0,FALSE,TRUE
BoSY,300042,Grade 7,44,44,0,FALSE,TRUE
BoSY,300042,Grade 8,60,60,0,FALSE,TRUE
BoSY,300042,Grade 9,52,52,0,FALSE,TRUE
BoSY,300043,Grade 10,193,193,0,FALSE,TRUE
BoSY,300043,Grade 7,199,199,0,FALSE,TRUE
BoSY,300043,Grade 8,180,180,0,FALSE,TRUE
BoSY,300043,Grade 9,147,147,0,FALSE,TRUE
BoSY,300044,Grade 10,585,585,0,FALSE,FALSE
BoSY,300044,Grade 7,650,650,0,FALSE,FALSE
BoSY,300044,Grade 8,597,597,0,FALSE,FALSE
BoSY,300044,Grade 9,464,464,0,FALSE,FALSE
BoSY,300045,Grade 10,27,27,0,FALSE,TRUE
BoSY,300045,Grade 7,28,28,0,FALSE,TRUE
BoSY,300045,Grade 8,36,36,0,FALSE,TRUE
BoSY,300045,Grade 9,25,25,0,FALSE,TRUE
BoSY,300046,Grade 10,155,155,0,FALSE,TRUE
BoSY,300046,Grade 7,199,199,0,FALSE,TRUE
BoSY,300046,Grade 8,208,208,0,FALSE,TRUE
BoSY,300046,Grade 9,147,147,0,FALSE,TRUE
BoSY,300047,Grade 10,61,61,0,FALSE,FALSE
BoSY,300047,Grade 7,52,52,0,FALSE,FALSE
BoSY,300047,Grade 8,57,57,0,FALSE,FALSE
BoSY,300047,Grade 9,46,46,0,FALSE,FALSE
BoSY,300048,Grade 10,35,35,0,FALSE,TRUE
BoSY,300048,Grade 7,47,47,0,FALSE,TRUE
BoSY,300048,Grade 8,41,41,0,FALSE,TRUE
BoSY,300048,Grade 9,30,30,0,FALSE,TRUE
BoSY,300049,Grade 10,113,113,0,FALSE,TRUE
BoSY,300049,Grade 7,160,160,0,FALSE,TRUE
BoSY,300049,Grade 8,144,144,0,FALSE,TRUE
BoSY,300049,Grade 9,108,108,0,FALSE,TRUE
BoSY,300050,Grade 10,22,22,0,FALSE,TRUE
BoSY,300050,Grade 7,20,20,0,FALSE,TRUE
BoSY,300050,Grade 8,13,13,0,FALSE,TRUE
BoSY,300050,Grade 9,25,25,0,FALSE,TRUE
BoSY,300051,Grade 10,79,79,0,FALSE,FALSE
BoSY,300051,Grade 7,119,119,0,FALSE,FALSE
BoSY,300051,Grade 8,94,94,0,FALSE,FALSE
BoSY,300051,Grade 9,85,85,0,FALSE,FALSE
BoSY,300052,Grade 10,1133,1133,0,FALSE,FALSE
BoSY,300052,Grade 7,1323,1323,0,FALSE,FALSE
BoSY,300052,Grade 8,1194,1194,0,FALSE,FALSE
BoSY,300052,Grade 9,1016,1016,0,FALSE,FALSE
BoSY,300053,Grade 10,15,15,0,FALSE,TRUE
BoSY,300053,Grade 7,17,17,0,FALSE,TRUE
BoSY,300053,Grade 8,20,20,0,FALSE,TRUE
BoSY,300053,Grade 9,16,16,0,FALSE,TRUE
BoSY,300054,Grade 10,67,67,0,FALSE,TRUE
BoSY,300054,Grade 7,84,84,0,FALSE,TRUE
BoSY,300054,Grade 8,88,88,0,FALSE,TRUE
BoSY,300054,Grade 9,67,67,0,FALSE,TRUE
BoSY,300055,Grade 10,82,82,0,FALSE,TRUE
BoSY,300055,Grade 7,63,63,0,FALSE,TRUE
BoSY,300055,Grade 8,72,72,0,FALSE,TRUE
BoSY,300055,Grade 9,54,54,0,FALSE,TRUE
BoSY,300056,Grade 10,147,147,0,FALSE,TRUE
BoSY,300056,Grade 7,182,182,0,FALSE,TRUE
BoSY,300056,Grade 8,168,168,0,FALSE,TRUE
BoSY,300056,Grade 9,137,137,0,FALSE,TRUE
BoSY,300057,Grade 10,156,156,0,FALSE,TRUE
BoSY,300057,Grade 7,209,209,0,FALSE,TRUE
BoSY,300057,Grade 8,193,193,0,FALSE,TRUE
BoSY,300057,Grade 9,147,147,0,FALSE,TRUE
BoSY,300058,Grade 10,35,35,0,FALSE,TRUE
BoSY,300058,Grade 7,46,46,0,FALSE,TRUE
BoSY,300058,Grade 8,25,25,0,FALSE,TRUE
BoSY,300058,Grade 9,16,16,0,FALSE,TRUE
BoSY,300059,Grade 10,64,64,0,FALSE,TRUE
BoSY,300059,Grade 7,85,85,0,FALSE,TRUE
BoSY,300059,Grade 8,64,64,0,FALSE,TRUE
BoSY,300059,Grade 9,64,64,0,FALSE,TRUE
BoSY,300060,Grade 10,112,112,0,FALSE,TRUE
BoSY,300060,Grade 7,135,135,0,FALSE,TRUE
BoSY,300060,Grade 8,109,109,0,FALSE,TRUE
BoSY,300060,Grade 9,74,74,0,FALSE,TRUE
BoSY,300061,Grade 10,44,44,0,FALSE,TRUE
BoSY,300061,Grade 7,47,47,0,FALSE,TRUE
BoSY,300061,Grade 8,51,51,0,FALSE,TRUE
BoSY,300061,Grade 9,29,29,0,FALSE,TRUE
BoSY,300062,Grade 10,28,28,0,FALSE,TRUE
BoSY,300062,Grade 7,31,31,0,FALSE,TRUE
BoSY,300062,Grade 8,22,22,0,FALSE,TRUE
BoSY,300062,Grade 9,13,13,0,FALSE,TRUE
BoSY,300063,Grade 10,605,605,0,FALSE,TRUE
BoSY,300063,Grade 7,731,731,0,FALSE,TRUE
BoSY,300063,Grade 8,743,743,0,FALSE,TRUE
BoSY,300063,Grade 9,449,449,0,FALSE,TRUE
BoSY,300064,Grade 10,38,38,0,FALSE,TRUE
BoSY,300064,Grade 7,31,31,0,FALSE,TRUE
BoSY,300064,Grade 8,40,40,0,FALSE,TRUE
BoSY,300064,Grade 9,36,36,0,FALSE,TRUE
BoSY,300065,Grade 10,42,42,0,FALSE,TRUE
BoSY,300065,Grade 7,40,40,0,FALSE,TRUE
BoSY,300065,Grade 8,24,24,0,FALSE,TRUE
BoSY,300065,Grade 9,23,23,0,FALSE,TRUE
BoSY,300066,Grade 10,22,22,0,FALSE,TRUE
BoSY,300066,Grade 7,39,39,0,FALSE,TRUE
BoSY,300066,Grade 8,40,40,0,FALSE,TRUE
BoSY,300066,Grade 9,31,31,0,FALSE,TRUE
BoSY,300067,Grade 10,39,39,0,FALSE,TRUE
BoSY,300067,Grade 7,50,50,0,FALSE,TRUE
BoSY,300067,Grade 8,40,40,0,FALSE,TRUE
BoSY,300067,Grade 9,34,34,0,FALSE,TRUE
BoSY,300068,Grade 10,28,28,0,FALSE,TRUE
BoSY,300068,Grade 7,16,16,0,FALSE,TRUE
BoSY,300068,Grade 8,24,24,0,FALSE,TRUE
BoSY,300068,Grade 9,18,18,0,FALSE,TRUE
BoSY,300069,Grade 10,69,69,0,FALSE,TRUE
BoSY,300069,Grade 7,99,99,0,FALSE,TRUE
BoSY,300069,Grade 8,85,85,0,FALSE,TRUE
BoSY,300069,Grade 9,62,62,0,FALSE,TRUE
BoSY,300070,Grade 10,60,60,0,FALSE,TRUE
BoSY,300070,Grade 7,90,90,0,FALSE,TRUE
BoSY,300070,Grade 8,67,67,0,FALSE,TRUE
BoSY,300070,Grade 9,60,60,0,FALSE,TRUE
BoSY,300071,Grade 10,25,25,0,FALSE,TRUE
BoSY,300071,Grade 7,22,22,0,FALSE,TRUE
BoSY,300071,Grade 8,26,26,0,FALSE,TRUE
BoSY,300071,Grade 9,20,20,0,FALSE,TRUE
BoSY,300072,Grade 10,250,250,0,FALSE,TRUE
BoSY,300072,Grade 7,270,270,0,FALSE,TRUE
BoSY,300072,Grade 8,246,246,0,FALSE,TRUE
BoSY,300072,Grade 9,169,169,0,FALSE,TRUE
BoSY,300073,Grade 10,117,117,0,FALSE,TRUE
BoSY,300073,Grade 7,116,116,0,FALSE,TRUE
BoSY,300073,Grade 8,108,108,0,FALSE,TRUE
BoSY,300073,Grade 9,103,103,0,FALSE,TRUE
BoSY,300074,Grade 10,48,48,0,FALSE,TRUE
BoSY,300074,Grade 7,65,65,0,FALSE,TRUE
BoSY,300074,Grade 8,70,70,0,FALSE,TRUE
BoSY,300074,Grade 9,53,53,0,FALSE,TRUE
BoSY,300075,Grade 10,104,104,0,FALSE,TRUE
BoSY,300075,Grade 7,131,131,0,FALSE,TRUE
BoSY,300075,Grade 8,115,115,0,FALSE,TRUE
BoSY,300075,Grade 9,95,95,0,FALSE,TRUE
BoSY,300076,Grade 10,47,47,0,FALSE,TRUE
BoSY,300076,Grade 7,47,47,0,FALSE,TRUE
BoSY,300076,Grade 8,50,50,0,FALSE,TRUE
BoSY,300076,Grade 9,28,28,0,FALSE,TRUE
BoSY,300077,Grade 10,347,347,0,FALSE,TRUE
BoSY,300077,Grade 7,455,455,0,FALSE,TRUE
BoSY,300077,Grade 8,417,417,0,FALSE,TRUE
BoSY,300077,Grade 9,324,324,0,FALSE,TRUE
BoSY,300078,Grade 10,172,172,0,FALSE,TRUE
BoSY,300078,Grade 7,193,193,0,FALSE,TRUE
BoSY,300078,Grade 8,191,191,0,FALSE,TRUE
BoSY,300078,Grade 9,138,138,0,FALSE,TRUE
BoSY,300079,Grade 10,34,34,0,FALSE,TRUE
BoSY,300079,Grade 7,32,32,0,FALSE,TRUE
BoSY,300079,Grade 8,20,20,0,FALSE,TRUE
BoSY,300079,Grade 9,26,26,0,FALSE,TRUE
BoSY,300080,Grade 10,522,522,0,FALSE,TRUE
BoSY,300080,Grade 7,581,581,0,FALSE,TRUE
BoSY,300080,Grade 8,487,487,0,FALSE,TRUE
