school_id,time_point,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy
301887,EoSY,Grade 10,66,66,0,FALSE
301887,EoSY,Grade 7,99,99,0,FALSE
301887,EoSY,Grade 8,66,66,0,FALSE
301887,EoSY,Grade 9,69,69,0,FALSE
301899,BoSY,Grade 10,114,114,0,FALSE
301899,BoSY,Grade 7,132,132,0,FALSE
301899,BoSY,Grade 8,143,143,0,FALSE
301899,BoSY,Grade 9,111,111,0,FALSE
301899,EoSY,Grade 10,114,114,0,FALSE
301899,EoSY,Grade 7,127,127,0,FALSE
301899,EoSY,Grade 8,135,135,0,FALSE
301899,EoSY,Grade 9,103,103,0,FALSE
301900,BoSY,Grade 10,40,40,0,FALSE
301900,BoSY,Grade 7,71,71,0,FALSE
301900,BoSY,Grade 8,70,70,0,FALSE
301900,BoSY,Grade 9,52,52,0,FALSE
301900,EoSY,Grade 10,40,40,0,FALSE
301900,EoSY,Grade 7,69,69,0,FALSE
301900,EoSY,Grade 8,59,59,0,FALSE
301900,EoSY,Grade 9,53,53,0,FALSE
301930,BoSY,Grade 10,78,78,0,FALSE
301930,BoSY,Grade 7,100,100,0,FALSE
301930,BoSY,Grade 8,111,111,0,FALSE
301930,BoSY,Grade 9,73,73,0,FALSE
301930,EoSY,Grade 10,78,78,0,FALSE
301930,EoSY,Grade 7,100,100,0,FALSE
301930,EoSY,Grade 8,111,111,0,FALSE
301930,EoSY,Grade 9,73,73,0,FALSE
301947,BoSY,Grade 10,348,348,0,FALSE
301947,BoSY,Grade 7,365,365,0,FALSE
301947,BoSY,Grade 8,355,355,0,FALSE
301947,BoSY,Grade 9,290,290,0,FALSE
301947,EoSY,Grade 10,336,336,0,FALSE
301947,EoSY,Grade 7,365,365,0,FALSE
301947,EoSY,Grade 8,344,344,0,FALSE
301947,EoSY,Grade 9,312,312,0,FALSE
301963,BoSY,Grade 10,148,148,0,FALSE
301963,BoSY,Grade 7,220,220,0,FALSE
301963,BoSY,Grade 8,218,218,0,FALSE
301963,BoSY,Grade 9,157,157,0,FALSE
301963,EoSY,Grade 10,148,148,0,FALSE
301963,EoSY,Grade 7,223,223,0,FALSE
301963,EoSY,Grade 8,262,262,0,FALSE
301963,EoSY,Grade 9,157,157,0,FALSE
301974,BoSY,Grade 10,52,52,0,FALSE
301974,BoSY,Grade 7,87,87,0,FALSE
301974,BoSY,Grade 8,85,85,0,FALSE
301974,BoSY,Grade 9,45,45,0,FALSE
301974,EoSY,Grade 10,52,52,0,FALSE
301974,EoSY,Grade 7,88,88,0,FALSE
301974,EoSY,Grade 8,86,86,0,FALSE
301974,EoSY,Grade 9,46,46,0,FALSE
301984,BoSY,Grade 10,189,189,0,FALSE
301984,BoSY,Grade 7,225,225,0,FALSE
301984,BoSY,Grade 8,187,187,0,FALSE
301984,BoSY,Grade 9,173,173,0,FALSE
301984,EoSY,Grade 10,178,178,0,FALSE
301984,EoSY,Grade 7,220,220,0,FALSE
301984,EoSY,Grade 8,183,183,0,FALSE
301984,EoSY,Grade 9,171,171,0,FALSE
301986,BoSY,Grade 10,161,161,0,FALSE
301986,BoSY,Grade 7,216,216,0,FALSE
301986,BoSY,Grade 8,194,194,0,FALSE
301986,BoSY,Grade 9,178,178,0,FALSE
301986,EoSY,Grade 10,151,151,0,FALSE
301986,EoSY,Grade 7,202,202,0,FALSE
301986,EoSY,Grade 8,177,177,0,FALSE
301986,EoSY,Grade 9,184,184,0,FALSE
301990,BoSY,Grade 10,26,26,0,FALSE
301990,BoSY,Grade 7,21,21,0,FALSE
301990,BoSY,Grade 8,40,40,0,FALSE
301990,BoSY,Grade 9,23,23,0,FALSE
301990,EoSY,Grade 10,40,40,0,FALSE
301990,EoSY,Grade 7,48,48,0,FALSE
301990,EoSY,Grade 8,45,45,0,FALSE
301990,EoSY,Grade 9,40,40,0,FALSE
301995,BoSY,Grade 10,56,56,0,FALSE
301995,BoSY,Grade 7,62,62,0,FALSE
301995,BoSY,Grade 8,22,22,0,FALSE
301995,BoSY,Grade 9,70,70,0,FALSE
301995,EoSY,Grade 10,52,52,0,FALSE
301995,EoSY,Grade 7,59,59,0,FALSE
301995,EoSY,Grade 8,57,57,0,FALSE
301995,EoSY,Grade 9,55,55,0,FALSE
302011,BoSY,Grade 10,172,172,0,FALSE
302011,BoSY,Grade 7,244,244,0,FALSE
302011,BoSY,Grade 8,214,214,0,FALSE
302011,BoSY,Grade 9,176,176,0,FALSE
302011,EoSY,Grade 10,75,75,0,FALSE
302011,EoSY,Grade 7,199,199,0,FALSE
302011,EoSY,Grade 8,92,92,0,FALSE
302011,EoSY,Grade 9,102,102,0,FALSE
302014,BoSY,Grade 10,105,105,0,FALSE
302014,BoSY,Grade 7,165,165,0,FALSE
302014,BoSY,Grade 8,134,134,0,FALSE
302014,BoSY,Grade 9,124,124,0,FALSE
302014,EoSY,Grade 10,101,101,0,FALSE
302014,EoSY,Grade 7,148,148,0,FALSE
302014,EoSY,Grade 8,139,139,0,FALSE
302014,EoSY,Grade 9,110,110,0,FALSE
302039,BoSY,Grade 10,249,249,0,FALSE
302039,BoSY,Grade 7,361,361,0,FALSE
302039,BoSY,Grade 8,297,297,0,FALSE
302039,BoSY,Grade 9,254,254,0,FALSE
302039,EoSY,Grade 10,233,233,0,FALSE
302039,EoSY,Grade 7,330,330,0,FALSE
302039,EoSY,Grade 8,292,292,0,FALSE
302039,EoSY,Grade 9,234,234,0,FALSE
302043,BoSY,Grade 10,197,197,0,FALSE
302043,BoSY,Grade 7,227,227,0,FALSE
302043,BoSY,Grade 8,176,176,0,FALSE
302043,BoSY,Grade 9,179,179,0,FALSE
302043,EoSY,Grade 10,187,187,0,FALSE
302043,EoSY,Grade 7,200,200,0,FALSE
302043,EoSY,Grade 8,150,150,0,FALSE
302043,EoSY,Grade 9,156,156,0,FALSE
302054,BoSY,Grade 10,95,95,0,FALSE
302054,BoSY,Grade 7,114,114,0,FALSE
302054,BoSY,Grade 8,119,119,0,FALSE
302054,BoSY,Grade 9,95,95,0,FALSE
302054,EoSY,Grade 10,92,92,0,FALSE
302054,EoSY,Grade 7,102,102,0,FALSE
302054,EoSY,Grade 8,115,115,0,FALSE
302054,EoSY,Grade 9,87,87,0,FALSE
302058,BoSY,Grade 10,116,116,0,FALSE
302058,BoSY,Grade 7,138,138,0,FALSE
302058,BoSY,Grade 8,112,112,0,FALSE
302058,BoSY,Grade 9,128,128,0,FALSE
302058,EoSY,Grade 10,105,105,0,FALSE
302058,EoSY,Grade 7,124,124,0,FALSE
302058,EoSY,Grade 8,102,102,0,FALSE
302058,EoSY,Grade 9,123,123,0,FALSE
302061,BoSY,Grade 10,56,56,0,FALSE
302061,BoSY,Grade 7,82,82,0,FALSE
302061,BoSY,Grade 8,43,43,0,FALSE
302061,BoSY,Grade 9,40,40,0,FALSE
302061,EoSY,Grade 10,51,51,0,FALSE
302061,EoSY,Grade 7,79,79,0,FALSE
